,Topic,document,Stance,Conclusion,Argument ID
2794,17,by legalizing prostitution we would be making it safer for the prostitute by taking control away from the violent crime organizations,in favor of,We should legalize prostitution,A24220
2795,1,autonomous cars can make driving more dangerous since their programming can not cover every conceivable instance.,in favor of,We should stop the development of autonomous cars,A24222
2796,72,we should subsidize embryonic stem cell research if we want to further medical advancements.,in favor of,We should subsidize embryonic stem cell research,A24223
2797,47,Zoos protect many of the near extinct animals and should be kept open.,against,We should abolish zoos,A24224
2798,61,this site has proven very popular and useful for those looking for information,in favor of,We should subsidize Wikipedia,A24227
2799,16,executives work hard for their companies and should be compensated accordingly.,against,We should limit executive compensation,A24229
2800,18,a multi-party system would help create more options for voters.,in favor of,We should adopt a multi-party system,A24231
2801,1,autonomous cars will bring mobility to the disabled.,against,We should stop the development of autonomous cars,A24232
2802,5,Capital punishment is hypocritical by engaging in the behavior it is trying to prevent.,in favor of,We should abolish capital punishment,A24236
2803,11,we should adopt gender-neutral language because it will create a society where men are not more powerful and important than women.,in favor of,We should adopt gender-neutral language,A24238
2804,8,"it will stop people from buying the drug from the streets, it will also mean that regulations are put in place to ensure the quality of the drug is safe to use, it will also increase tax revenue.",in favor of,We should legalize cannabis,A24240
2805,17,legalizing prostitution would spread many diseases.,against,We should legalize prostitution,A24241
2806,39,we shouldn't ban targeted killing because it is a legitimate tool in foreign wars to take out the biggest enemies. we need to use all the tools available to us.,against,We should ban targeted killing,A24242
2807,36,we should not introduce compulsory voting because some people that are unable to read and or write will be voting,against,We should introduce compulsory voting,A24243
2808,35,private military companies are dangerous.  they are nothing more than mercenaries following the whims of their boss.,in favor of,We should ban private military companies,A24244
2809,2,"There is nothing about a younger workforce that is inherently better, and qualified young people will still be able to get jobs without a policy of mandatory retirement.",in favor of,We should end mandatory retirement,A24247
